"family","sires","mean","mean_error","mean_sigma","lm_intercept","lm_intercept_error","lm_slope","lm_slope_error","lm_sigma","sire_jersey_propn","sire_breed","sire_birth_date","sire_birth_year","sire_region","halfsibs_in_data","halfsibs_total","sire_breeding_window","sire_avg_age_at_col","rounded_ages","children_per_age"
1,135266,1.0076146637246,0.0500097439536372,0.193686905480534,1.30566822680015,0.736018965336982,-0.000629158942602483,0.00154983809515106,0.199736392932022,0.0625,"Holstein","2006-07-04",2006,"SOUTH AUCKLAND",15,15,135,473.733333333333,"1","15"
1,135278,1.17716809926589,0.0359517894424467,0.134519278535072,1.35646833137992,0.402878445465214,-0.000403829351608157,0.000903525814852116,0.13886107148233,1,"Jersey","2006-07-06",2006,"TARANAKI",14,17,100,444,"1","14"
1,135324,0.954493172001067,0.0302685933624036,0.121074373449614,-0.812950457355907,1.18387433531454,0.00380863273666149,0.0025503389428834,0.116395454880926,0.375,"Mix","2006-07-15",2006,"TARANAKI",16,17,23,464.0625,"1","16"
1,135536,0.968954329719163,0.0237030318823721,0.144179914188557,0.98202368521179,0.0404184099116512,-1.31346738707953e-05,3.26958722926283e-05,0.145889168925058,1,"Jersey","2006-07-18",2006,"SOUTH AUCKLAND",37,38,1698,995.027027027027,"1 5","23 14"
1,135620,1.1398517747013,0.0340499656560166,0.186499342720765,1.32655726714673,0.152611331080421,-0.000382123398373789,0.000304625167381599,0.184682057092058,0,"Holstein","2006-07-24",2006,"TARANAKI",30,33,509,488.6,"1 2","27 3"
1,135730,1.05932838278924,0.046018208204686,0.195238722477527,-0.367399166069202,1.67034924838845,0.00301527484788682,0.00352878829931749,0.196807075361595,1,"Jersey","2006-07-12",2006,"TARANAKI",18,19,43,473.166666666667,"1","18"
1,135789,1.08240809908279,0.0282803163935036,0.162458049186398,1.7913788925467,0.167614159571049,-0.00179417455401141,0.00042023397914989,0.130981101839942,1,"Jersey","2006-07-28",2006,"SOUTH AUCKLAND",33,34,174,395.151515151515,"1","33"
1,135843,1.06939200624489,0.0466941873588758,0.14765998554469,1.00138651615766,0.490918083931457,0.000152342047686444,0.00109412969607149,0.156427642674912,0.5625,"Mix","2006-07-28",2006,"WAIRARAPA",10,11,160,446.4,"1","10"
1,135879,0.979164495568051,0.018801433430297,0.163907096632744,1.00130294755937,0.0835760059503715,-3.04854478327991e-05,0.000112099837218318,0.164928465639897,1,"Jersey","2006-08-02",2006,"TARANAKI",76,78,545,726.197368421053,"1 2","20 56"
1,135903,0.975491419980065,0.0349682447774052,0.152423045217703,1.68565585728918,1.67482477359432,-0.00151642215204239,0.00357545548237804,0.156018770735105,1,"Jersey","2006-07-25",2006,"SOUTH AUCKLAND",19,20,36,468.315789473684,"1","19"
1,136056,0.972374661066952,0.0165656794099996,0.182222473509996,0.873406374912102,0.0405778499269334,5.25819130543501e-05,1.97751879576745e-05,0.177781409262081,1,"Jersey","2006-08-05",2006,"SOUTH AUCKLAND",121,134,2684,1882.17355371901,"1 5 6 7 8","25 42 10 43 1"
1,136122,1.07704704304585,0.011141322696261,0.170429465506407,1.06967017527622,0.0252541759942321,4.38273161875551e-06,1.34586630863408e-05,0.170757354496835,0,"Holstein","2006-08-03",2006,"SOUTH AUCKLAND",234,289,2645,1683.16666666667,"1 2 5 6 7 8","22 65 41 53 51 2"
1,136148,1.07275412126821,0.0532637463788585,0.176655861667325,0.711228907162823,0.274924306850014,0.000895670575486329,0.00066916862757609,0.170053833364478,0.4375,"Mix","2006-07-30",2006,"SOUTH AUCKLAND",11,11,165,403.636363636364,"1","11"
1,136296,1.18078191650419,0.0401416819762594,0.126939144155109,0.605294143184869,3.13727467417229,0.0012990694657321,0.0070812346777768,0.134356981367659,0.5625,"Mix","2006-08-08",2006,"SOUTH AUCKLAND",10,10,20,443,"1","10"
1,136306,1.15534345861746,0.0674675539594947,0.213351138672315,2.1988475596665,2.37397469029689,-0.00228487869728276,0.00519579893277313,0.223606566099693,0,"Holstein","2006-08-05",2006,"SOUTHLAND",10,12,55,456.7,"1","10"
1,136477,1.06574957623656,0.0515907362816003,0.193034859497156,2.11791553842446,1.30708707380802,-0.00224547613881564,0.00278728104243134,0.195694693752907,1,"Jersey","2006-07-26",2006,"TARANAKI",14,15,57,468.571428571429,"1","14"
1,136478,0.992132855363906,0.0570082428034202,0.213305312792419,0.901299816864849,1.82818904447552,0.000206505771189803,0.0041541352855368,0.221992352188452,1,"Jersey","2006-08-13",2006,"SOUTH AUCKLAND",14,15,35,439.857142857143,"1","14"
1,136500,1.07342421478043,0.0250162192194468,0.158216462359063,1.1149638679873,0.116454853703408,-5.79575893220871e-05,0.000158601507290766,0.160003845628282,0.4375,"Mix","2006-08-07",2006,"SOUTH AUCKLAND",40,42,414,716.725,"1 2","10 30"
1,136615,0.988944205497192,0.0142663626072162,0.141948515673878,0.903049249260648,0.0465377600361898,9.86542376376845e-05,5.09491860907118e-05,0.139998295545116,1,"Jersey","2006-08-13",2006,"SOUTH AUCKLAND",99,108,852,870.666666666667,"1 2 3","19 43 37"
1,136671,1.01888514137322,0.0525259663645309,0.216570107408601,0.886523288787944,0.870746196015007,0.000293408722643077,0.00192645376539312,0.223499895512401,1,"Jersey","2006-07-19",2006,"SOUTH AUCKLAND",17,18,112,451.117647058824,"1","17"
1,136676,0.916572127593977,0.0286663704450423,0.128199905966611,1.12685881518973,0.598523854693697,-0.00048643693637694,0.00138284464711659,0.131262480959241,1,"Jersey","2006-08-17",2006,"SOUTH AUCKLAND",20,20,46,432.3,"1","20"
1,136696,0.973604429409081,0.0239093234348036,0.17406250198372,0.826241272204063,0.0810650210327202,0.000190224738951384,0.000100215175890817,0.169862906456728,1,"Jersey","2006-08-10",2006,"SOUTH AUCKLAND",53,53,771,774.679245283019,"1 2 3","14 31 8"
1,136715,0.90391097063539,0.0321539990281264,0.179025889911274,0.977171306102142,0.0701315542464605,-0.000155053621865863,0.000132129540489873,0.177911223800157,1,"Jersey","2006-08-05",2006,"SOUTH AUCKLAND",31,31,892,472.483870967742,"1 3","28 3"
1,136718,1.01004633905083,0.0264669127650886,0.154327295138299,2.03905468588196,0.855577313470853,-0.00230127499784637,0.00191251023909463,0.15329058535067,1,"Jersey","2006-08-10",2006,"SOUTH AUCKLAND",34,36,41,447.147058823529,"1","34"
1,136825,1.12146108060825,0.0533505703937034,0.192358217129749,-8.53526825646862,6.16159566784335,0.0226275200760633,0.0144372865917095,0.18165049544109,0,"Holstein","2006-08-23",2006,"SOUTH AUCKLAND",13,13,7,426.769230769231,"1","13"
1,136850,0.99855552964974,0.0421732131419212,0.139872724195438,-3.35544889155238,3.68318581022686,0.0101642717812443,0.00859772697158464,0.137172269069411,0,"Holstein","2006-08-18",2006,"TARANAKI",11,11,10,428.363636363636,"1","11"
