"","(Intercept)","as.Date(sire_birth_date)","kept_markers_adjusted","sire_age_at_collection","I(sire_age_at_collection^2)","sire_breeding_window","sire_jersey_propn","as.Date(sire_birth_date):kept_markers_adjusted","as.Date(sire_birth_date):sire_age_at_collection","as.Date(sire_birth_date):sire_breeding_window","as.Date(sire_birth_date):sire_jersey_propn","kept_markers_adjusted:sire_age_at_collection","kept_markers_adjusted:sire_breeding_window","kept_markers_adjusted:sire_jersey_propn","sire_age_at_collection:sire_breeding_window","sire_age_at_collection:sire_jersey_propn","sire_breeding_window:sire_jersey_propn","df","logLik","AICc","delta","weight"
"32958",0.930235675729798,8.27381083140906e-06,NA,5.0951004074517e-05,-4.42159328637334e-09,3.8921809588565e-06,-0.0615123700069509,NA,-1.63293511939099e-09,NA,NA,NA,NA,NA,NA,NA,-3.73002096540969e-06,12,26483.1734713192,-52942.343608557,144.657951054091,3.8193079604344e-32
"28735",1.04568800652077,NA,1.60115642364539e-05,1.43384309951524e-05,-3.47890086367759e-09,-1.53679113763771e-06,-0.0865318846422162,NA,NA,NA,NA,NA,NA,6.93966930917641e-05,4.07721019162055e-09,9.13797006898956e-06,NA,13,26484.1074333392,-52942.2109768753,144.790582735797,3.57424299174686e-32
"12352",0.970225842590899,5.37037238279966e-06,1.27614009327544e-05,2.40110959173921e-05,-3.23885699441872e-09,1.99919682676246e-06,-0.0810390708442892,NA,NA,NA,NA,NA,NA,7.33049991828656e-05,9.84241231436668e-10,NA,NA,13,26484.0938694414,-52942.1838490796,144.817710531512,3.5260896367504e-32
"16824",0.915265373896848,9.22842830312037e-06,4.01661248785834e-05,1.22040735618692e-06,NA,8.42072108241831e-05,-0.0694135016146441,NA,8.51821692990828e-10,-6.28099777488732e-09,NA,NA,NA,NA,NA,1.00155066151495e-05,NA,13,26484.0567996292,-52942.1097094552,144.891850155916,3.39777121986577e-32
"4288",0.931712524181726,8.00655357169069e-06,1.3403797235758e-05,5.22022864157662e-05,-4.39336432425718e-09,2.39927644817756e-06,-0.0810445589515427,NA,-1.78520178198095e-09,NA,NA,NA,NA,7.28781076321112e-05,NA,NA,NA,13,26484.0502677868,-52942.0966457704,144.904913840663,3.3756498391743e-32
"704",0.982025846242066,3.73849478874831e-06,4.08699163514322e-05,5.69385438528645e-05,-4.71829855652862e-09,2.35984201854942e-06,-0.189976818461414,NA,-2.08094000257793e-09,NA,9.46721383356435e-06,NA,NA,NA,NA,NA,NA,13,26483.9918180187,-52941.9797462342,145.021813376894,3.18399940979093e-32
"10360",0.937437267376646,7.95855416323676e-06,0.000144768928528228,1.81706112848097e-05,NA,-8.42928966783486e-06,-0.0621030642919352,-1.00089649909648e-08,NA,NA,NA,NA,4.8487151259044e-08,NA,-1.55489223354186e-09,NA,NA,13,26483.9881536613,-52941.9724175194,145.029142091633,3.17235344860266e-32
"33016",0.859703315536461,1.2839865508796e-05,0.00044434290269076,2.02538952188034e-05,NA,4.02613553891251e-06,-0.0607161946403869,-2.85759654164324e-08,-3.34358822473574e-10,NA,NA,NA,NA,NA,NA,NA,-2.26130494104958e-06,13,26483.9786026334,-52941.9533154637,145.048244147365,3.14219844727617e-32
"37440",1.02867498834626,9.06836702310148e-07,1.65604461342874e-05,2.51292580159447e-05,-2.99495617184317e-09,1.10612112880379e-06,-0.20573024188501,NA,NA,NA,9.33502223704314e-06,NA,NA,6.44949824944695e-05,NA,NA,4.43174334261929e-06,14,26484.9575283013,-52941.9105683203,145.090991290759,3.07575108181603e-32
"47160",0.984267936303814,5.34171632305182e-06,-3.50631791200833e-05,1.79314808452643e-05,NA,-1.03296008904822e-05,-0.0826385542074865,NA,NA,NA,NA,NA,5.86540764472847e-08,8.27849922407762e-05,-1.48141145711919e-09,NA,-1.8994945260802e-06,14,26484.9529172695,-52941.9013462567,145.10021335441,3.061601343209e-32
